Level;WB_Ladder;four_year_bins;;;;
0;6.819446980955281;18-21;;;;
1;6.517418369113058;22-25;;;;
2;6.493813897692075;26-29;;;;
3;6.537805947968703;30-33;;;;
4;6.546019468466695;34-37;;;;
5;6.470694049047168;38-41;;;;
6;6.399354234182618;42-45;;;;
7;6.347909019832532;46-49;;;;
8;6.296438738787131;50-53;;;;
9;6.412012915316349;54-57;;;;
10;6.471930672682674;58-61;;;;
11;6.599461662876822;62-65;;;;
12;6.730953190930632;66-69;;;;
13;6.802802695266573;70-73;;;;
14;6.874635488472305;74-77;;;;
15;6.918635894314039;78-81;;;;
16;6.982530900670237;82-85;;;;
