artist_name,album_name,track_name,track_number,album_release_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,key_name,mode_name,key_mode
Nine Inch Nails,Bad Witch,Shit Mirror,1,2018-06-22,0.297,0.943,2,-5.207,0,0.214,0.00273,0.888,0.278,0.142,79.96,186072,D,minor,D minor
Nine Inch Nails,Bad Witch,Ahead of Ourselves,2,2018-06-22,0.598,0.986,7,-6.766,1,0.097,0.119,0.724,0.11,0.445,162.036,210561,G,major,G major
Nine Inch Nails,Bad Witch,Play the Goddamned Part,3,2018-06-22,0.59,0.722,2,-8.003,1,0.0383,0.154,0.812,0.0832,0.392,152.086,291386,D,major,D major
Nine Inch Nails,Bad Witch,God Break Down the Door,4,2018-06-22,0.33,0.971,0,-4.543,1,0.139,0.269,0.945,0.155,0.153,113.931,254957,C,major,C major
Nine Inch Nails,Bad Witch,I'm Not from This World,5,2018-06-22,0.273,0.477,2,-14.56,0,0.0973,0.777,0.886,0.108,0.191,192.029,401853,D,minor,D minor
Nine Inch Nails,Bad Witch,Over and Out,6,2018-06-22,0.374,0.575,2,-10.251,0,0.0497,0.416,0.818,0.0671,0.0387,140.116,469897,D,minor,D minor
Nine Inch Nails,Recoiled,Gave Up - Open My Eyes,1,2014-02-24,0.551,0.934,10,-7.956,0,0.0883,8.6e-5,0.136,0.208,0.393,134.103,360907,A#,minor,A# minor
Nine Inch Nails,Recoiled,Closer - Unrecalled,2,2014-02-24,0.424,0.577,3,-10.858,0,0.123,0.346,0.00758,0.107,0.368,180.175,464830,D#,minor,D# minor
Nine Inch Nails,Recoiled,The Downward Spiral - A Gilded Sickness,3,2014-02-24,0.308,0.754,2,-9.741,1,0.233,0.186,0.758,0.354,0.244,100.286,481027,D,major,D major
Nine Inch Nails,Recoiled,Eraser - Reduction,4,2014-02-24,0.16,0.654,1,-10.733,0,0.0627,0.928,0.394,0.472,0.0395,110.142,529553,C#,minor,C# minor
Nine Inch Nails,Recoiled,Eraser - Baby Alarm Remix,5,2014-02-24,0.548,0.834,3,-9.566,0,0.0665,0.0315,0.718,0.264,0.149,130.091,532709,D#,minor,D# minor
Nine Inch Nails,Hesitation Marks,The Eater Of Dreams,1,2013-01-01,0.555,0.0237,1,-26.377,1,0.049,0.0834,0.296,0.28,0.045,167.739,52431,C#,major,C# major
Nine Inch Nails,Hesitation Marks,Copy Of A,2,2013-01-01,0.634,0.828,8,-6.161,1,0.0391,0.022,0.422,0.216,0.694,137.974,322622,G#,major,G# major
Nine Inch Nails,Hesitation Marks,Came Back Haunted,3,2013-01-01,0.687,0.747,9,-4.324,0,0.0797,0.00342,0.0194,0.117,0.579,130.025,317269,A,minor,A minor
Nine Inch Nails,Hesitation Marks,Find My Way,4,2013-01-01,0.624,0.448,1,-8.686,1,0.0357,0.202,0.759,0.106,0.408,150.008,315668,C#,major,C# major
Nine Inch Nails,Hesitation Marks,All Time Low,5,2013-01-01,0.545,0.857,2,-5.262,1,0.0414,0.0163,0.0195,0.121,0.377,86.033,377810,D,major,D major
Nine Inch Nails,Hesitation Marks,Disappointed,6,2013-01-01,0.74,0.472,2,-8.495,1,0.0386,0.0201,0.847,0.104,0.234,137.032,344115,D,major,D major
Nine Inch Nails,Hesitation Marks,Everything,7,2013-01-01,0.515,0.911,1,-3.502,1,0.059,1.87e-5,0.646,0.131,0.912,155.028,199559,C#,major,C# major
Nine Inch Nails,Hesitation Marks,Satellite,8,2013-01-01,0.75,0.613,1,-6.013,1,0.0988,1.66e-4,0.81,0.0888,0.441,113.409,302736,C#,major,C# major
Nine Inch Nails,Hesitation Marks,Various Methods Of Escape,9,2013-01-01,0.526,0.555,5,-7.441,0,0.0504,0.00519,0.713,0.124,0.459,84.013,301405,F,minor,F minor
Nine Inch Nails,Hesitation Marks,Running,10,2013-01-01,0.78,0.824,11,-7.365,0,0.0543,0.132,0.839,0.121,0.625,133.003,247600,B,minor,B minor
Nine Inch Nails,Hesitation Marks,I Would For You,11,2013-01-01,0.548,0.839,3,-6.34,1,0.0527,0.0144,0.174,0.112,0.402,145.988,272691,D#,major,D# major
Nine Inch Nails,Hesitation Marks,In Two,12,2013-01-01,0.475,0.852,1,-6.964,1,0.0416,0.00924,0.35,0.243,0.187,181.979,331536,C#,major,C# major
Nine Inch Nails,Hesitation Marks,While I'm Still Here,13,2013-01-01,0.701,0.363,1,-16.037,1,0.0857,0.0942,0.843,0.0917,0.478,173.99,242743,C#,major,C# major
Nine Inch Nails,Hesitation Marks,Black Noise,14,2013-01-01,0.489,0.631,1,-9.274,1,0.0827,0.51,0.952,0.149,0.32,174.036,89024,C#,major,C# major
Nine Inch Nails,The Slip,"999,999",1,2008-07-22,0.194,0.132,8,-30.122,1,0.0565,0.857,0.827,0.195,0.0504,127.896,85159,G#,major,G# major
Nine Inch Nails,The Slip,"1,000,000",2,2008-07-22,0.545,0.961,7,-4.163,1,0.0892,0.0696,0.00392,0.432,0.35,135.941,236197,G,major,G major
Nine Inch Nails,The Slip,Letting You,3,2008-07-22,0.314,0.978,10,-4.028,0,0.0906,0.00794,0.492,0.403,0.0456,113.907,229510,A#,minor,A# minor
Nine Inch Nails,The Slip,Discipline,4,2008-07-22,0.611,0.793,6,-6.646,1,0.0275,0.00122,0.285,0.251,0.824,122.01,259183,F#,major,F# major
Nine Inch Nails,The Slip,Echoplex,5,2008-07-22,0.769,0.411,10,-8.228,0,0.0498,0.0138,0.708,0.099,0.565,123.996,285238,A#,minor,A# minor
Nine Inch Nails,The Slip,Head Down,6,2008-07-22,0.63,0.885,10,-7.947,0,0.0457,0.0946,0.497,0.14,0.785,121.998,295459,A#,minor,A# minor
Nine Inch Nails,The Slip,Lights In The Sky,7,2008-07-22,0.469,0.018,0,-24.246,0,0.0404,0.971,0.932,0.11,0.0419,109.828,209637,C,minor,C minor
Nine Inch Nails,The Slip,Corona Radiata,8,2008-07-22,0.0833,0.0673,5,-26.559,1,0.0392,0.953,0.901,0.113,0.0404,67.282,453698,F,major,F major
Nine Inch Nails,The Slip,The Four Of Us Are Dying,9,2008-07-22,0.546,0.601,10,-11.712,0,0.0506,0.519,0.873,0.211,0.246,83.01,277628,A#,minor,A# minor
Nine Inch Nails,The Slip,Demon Seed,10,2008-07-22,0.591,0.844,9,-8.148,1,0.0417,0.102,0.574,0.116,0.787,132,299408,A,major,A major
Nine Inch Nails,Ghosts I-IV,Ghosts I,1,2008-04-05,0.305,0.0162,5,-27.207,1,0.0402,0.927,0.866,0.111,0.0771,60.066,168200,F,major,F major
